frame,time,pred,conf,no_weapon_prob,weapon_prob
43,1758535043.6663728,weapon,0.61458623,0.38541374,0.61458623
44,1758535044.052665,weapon,0.6147462,0.38525382,0.6147462
45,1758535044.436407,weapon,0.6241555,0.37584445,0.6241555
46,1758535044.8211443,weapon,0.6108299,0.3891701,0.6108299
47,1758535045.1377573,weapon,0.62829936,0.3717007,0.62829936
48,1758535045.5143642,weapon,0.6264608,0.37353927,0.6264608
49,1758535045.8748941,weapon,0.61271846,0.38728154,0.61271846
50,1758535046.1899745,weapon,0.6069929,0.39300704,0.6069929
51,1758535046.5196114,weapon,0.6073706,0.3926294,0.6073706
52,1758535046.9471428,weapon,0.604466,0.39553398,0.604466
53,1758535047.3707902,weapon,0.6019024,0.39809754,0.6019024
54,1758535047.7416396,weapon,0.60805064,0.39194936,0.60805064
55,1758535048.1203392,weapon,0.61111313,0.3888869,0.61111313
56,1758535048.4937859,no_weapon,0.6114021,0.6114021,0.38859785
57,1758535048.888664,no_weapon,0.62301785,0.62301785,0.37698206
58,1758535049.2833426,no_weapon,0.6157298,0.6157298,0.3842702
59,1758535049.6600091,no_weapon,0.61313915,0.61313915,0.38686082
60,1758535050.0380392,no_weapon,0.60378647,0.60378647,0.3962136
61,1758535050.4421043,no_weapon,0.60138005,0.60138005,0.3986199
62,1758535050.810414,no_weapon,0.60097003,0.60097003,0.3990299
63,1758535051.2311196,no_weapon,0.60386497,0.60386497,0.3961351
64,1758535051.6395097,no_weapon,0.60676247,0.60676247,0.3932375
65,1758535052.0343657,no_weapon,0.6201768,0.6201768,0.37982318
66,1758535052.3719282,no_weapon,0.5995212,0.5995212,0.4004788
67,1758535052.7410555,no_weapon,0.58101386,0.58101386,0.41898623
68,1758535053.111685,no_weapon,0.58009636,0.58009636,0.41990355
69,1758535053.4869914,no_weapon,0.5832324,0.5832324,0.4167676
70,1758535053.8665154,no_weapon,0.5551802,0.5551802,0.4448199
71,1758535054.2372746,no_weapon,0.6154099,0.6154099,0.3845901
72,1758535054.6649787,no_weapon,0.5771671,0.5771671,0.42283285
73,1758535055.0424984,no_weapon,0.59960526,0.59960526,0.40039483
74,1758535055.4363751,no_weapon,0.6053876,0.6053876,0.39461243
75,1758535055.830842,no_weapon,0.5565151,0.5565151,0.4434849
76,1758535056.2133493,no_weapon,0.6267016,0.6267016,0.37329832
77,1758535056.5843706,no_weapon,0.5909682,0.5909682,0.40903184
78,1758535056.9744973,no_weapon,0.60083055,0.60083055,0.39916947
79,1758535057.3638759,no_weapon,0.6105712,0.6105712,0.3894288
80,1758535057.697454,no_weapon,0.5973595,0.5973595,0.40264055
81,1758535058.0748022,no_weapon,0.59654,0.59654,0.40346
82,1758535058.471269,no_weapon,0.6010439,0.6010439,0.3989562
83,1758535058.8213632,no_weapon,0.5970027,0.5970027,0.40299726
84,1758535059.2093484,no_weapon,0.6027374,0.6027374,0.39726257
85,1758535059.59595,no_weapon,0.6113286,0.6113286,0.38867137
86,1758535059.9659655,no_weapon,0.6170245,0.6170245,0.38297555
87,1758535060.3237653,no_weapon,0.618406,0.618406,0.38159406
88,1758535060.6370738,no_weapon,0.61532366,0.61532366,0.38467634
89,1758535061.0356944,no_weapon,0.61344504,0.61344504,0.386555
90,1758535061.4185386,no_weapon,0.60104126,0.60104126,0.3989588
91,1758535061.8307862,no_weapon,0.6075471,0.6075471,0.39245284
92,1758535062.2251976,no_weapon,0.62407297,0.62407297,0.375927
93,1758535062.566714,no_weapon,0.61452234,0.61452234,0.38547763
94,1758535062.9537234,no_weapon,0.6142889,0.6142889,0.3857111
95,1758535063.335684,no_weapon,0.6134769,0.6134769,0.38652316
96,1758535063.6718454,no_weapon,0.6210834,0.6210834,0.3789166
97,1758535064.0605717,no_weapon,0.6214755,0.6214755,0.37852454
98,1758535064.3718874,no_weapon,0.6123679,0.6123679,0.387632
99,1758535064.752656,no_weapon,0.61338687,0.61338687,0.3866131
100,1758535065.0917768,no_weapon,0.6146058,0.6146058,0.3853942
101,1758535065.473747,no_weapon,0.61234623,0.61234623,0.3876538
102,1758535065.8038907,no_weapon,0.6152009,0.6152009,0.3847991
103,1758535066.1598747,no_weapon,0.5083268,0.5083268,0.49167317
104,1758535066.5458567,no_weapon,0.43139875,0.43139875,0.56860125
105,1758535066.961591,no_weapon,0.45276105,0.45276105,0.547239
106,1758535067.2977343,weapon,0.62894386,0.37105617,0.62894386
107,1758535067.6912684,weapon,0.62290376,0.37709624,0.62290376
108,1758535068.0389621,weapon,0.62293273,0.37706724,0.62293273
109,1758535068.4273367,weapon,0.6461646,0.3538354,0.6461646
110,1758535068.8438706,weapon,0.64502627,0.35497376,0.64502627
111,1758535069.2284288,weapon,0.64433956,0.3556604,0.64433956
112,1758535069.56875,weapon,0.6532154,0.3467846,0.6532154
113,1758535069.9228609,weapon,0.6476695,0.35233054,0.6476695
114,1758535070.3282642,weapon,0.647088,0.35291204,0.647088
115,1758535070.6733832,weapon,0.6443085,0.35569146,0.6443085
116,1758535071.062489,weapon,0.63534814,0.3646519,0.63534814
117,1758535071.3671246,weapon,0.634115,0.365885,0.634115
118,1758535071.7142956,weapon,0.6330701,0.36692995,0.6330701
119,1758535072.116483,no_weapon,0.42017758,0.42017758,0.57982236
120,1758535072.5082839,no_weapon,0.6148404,0.6148404,0.38515958
121,1758535072.9028642,no_weapon,0.61596644,0.61596644,0.38403356
122,1758535073.2731252,no_weapon,0.6180217,0.6180217,0.38197827
123,1758535073.6453233,no_weapon,0.6151895,0.6151895,0.38481054
124,1758535074.0048218,no_weapon,0.60653985,0.60653985,0.39346015
125,1758535074.3089137,no_weapon,0.5987263,0.5987263,0.40127367
126,1758535074.8024204,no_weapon,0.6001027,0.6001027,0.39989722
127,1758535075.1732328,no_weapon,0.60862297,0.60862297,0.39137703
128,1758535075.5473533,no_weapon,0.6091703,0.6091703,0.39082968
129,1758535075.866991,no_weapon,0.5968649,0.5968649,0.40313503
130,1758535076.2564578,no_weapon,0.5920082,0.5920082,0.40799183
131,1758535076.6401541,no_weapon,0.58633816,0.58633816,0.41366178
132,1758535077.0301263,no_weapon,0.5990295,0.5990295,0.40097055
133,1758535077.416877,no_weapon,0.6015722,0.6015722,0.39842784
134,1758535077.8059042,no_weapon,0.5966342,0.5966342,0.40336582
135,1758535078.166719,no_weapon,0.5963511,0.5963511,0.403649
136,1758535078.4980023,no_weapon,0.5940323,0.5940323,0.40596774
137,1758535078.885496,no_weapon,0.59305704,0.59305704,0.406943
138,1758535079.2851562,no_weapon,0.58880484,0.58880484,0.4111952
139,1758535079.5883443,no_weapon,0.5908254,0.5908254,0.4091746
140,1758535079.9567256,no_weapon,0.6024595,0.6024595,0.3975405
141,1758535080.2775478,no_weapon,0.61245906,0.61245906,0.38754097
142,1758535080.6616383,no_weapon,0.6076201,0.6076201,0.39237982
143,1758535081.040704,no_weapon,0.6077716,0.6077716,0.39222842
144,1758535081.4199657,no_weapon,0.6107471,0.6107471,0.38925287
145,1758535081.8950498,no_weapon,0.60890627,0.60890627,0.39109376
146,1758535082.2861452,no_weapon,0.6159761,0.6159761,0.38402385
147,1758535082.6594388,no_weapon,0.61502635,0.61502635,0.38497368
148,1758535083.0299616,no_weapon,0.60811234,0.60811234,0.39188763
149,1758535083.4260392,no_weapon,0.60808843,0.60808843,0.3919115
150,1758535083.8005962,no_weapon,0.6134845,0.6134845,0.38651553
151,1758535084.1714945,no_weapon,0.6114475,0.6114475,0.3885525
152,1758535084.5535629,no_weapon,0.6107395,0.6107395,0.38926038
153,1758535084.9326646,no_weapon,0.61284566,0.61284566,0.3871543
154,1758535085.3131886,no_weapon,0.6162379,0.6162379,0.38376212
155,1758535085.7006593,no_weapon,0.6134339,0.6134339,0.38656613
156,1758535086.0873725,no_weapon,0.61411154,0.61411154,0.38588843
157,1758535086.4862657,no_weapon,0.6169509,0.6169509,0.38304907
158,1758535086.8476374,no_weapon,0.6172103,0.6172103,0.3827897
159,1758535087.1927347,no_weapon,0.6165775,0.6165775,0.3834225
160,1758535087.5498781,no_weapon,0.6178966,0.6178966,0.38210335
161,1758535087.9631052,no_weapon,0.61857706,0.61857706,0.38142285
162,1758535088.4180503,no_weapon,0.61761874,0.61761874,0.3823813
163,1758535088.7309964,no_weapon,0.6122289,0.6122289,0.3877711
164,1758535089.116129,no_weapon,0.6125083,0.6125083,0.3874917
165,1758535089.60592,no_weapon,0.61057806,0.61057806,0.38942194
166,1758535089.9917552,no_weapon,0.6127572,0.6127572,0.38724285
167,1758535090.3829644,no_weapon,0.61463505,0.61463505,0.38536492
168,1758535090.7581763,no_weapon,0.61431026,0.61431026,0.3856898
169,1758535091.153633,no_weapon,0.61266583,0.61266583,0.38733414
170,1758535091.5144708,no_weapon,0.6130619,0.6130619,0.38693812
171,1758535091.8490732,no_weapon,0.61449414,0.61449414,0.38550588
172,1758535092.187131,no_weapon,0.6127196,0.6127196,0.38728043
173,1758535092.5475883,no_weapon,0.6126955,0.6126955,0.38730448
174,1758535092.8833168,no_weapon,0.61261535,0.61261535,0.3873847
175,1758535093.211248,no_weapon,0.61139995,0.61139995,0.3886
176,1758535093.5344048,no_weapon,0.6144997,0.6144997,0.38550028
177,1758535093.866075,no_weapon,0.6132261,0.6132261,0.3867739
178,1758535094.2371256,no_weapon,0.6135251,0.6135251,0.3864749
179,1758535094.5910172,no_weapon,0.6158384,0.6158384,0.38416156
180,1758535094.8994312,no_weapon,0.61309916,0.61309916,0.38690078
181,1758535095.2706604,no_weapon,0.61458015,0.61458015,0.38541985
182,1758535095.6022928,no_weapon,0.6156708,0.6156708,0.38432923
183,1758535095.9185674,no_weapon,0.61280525,0.61280525,0.38719478
184,1758535096.2307508,no_weapon,0.6125625,0.6125625,0.38743752
185,1758535096.5901155,no_weapon,0.60946715,0.60946715,0.39053294
186,1758535096.9419017,no_weapon,0.60999995,0.60999995,0.39000005
187,1758535097.3544548,no_weapon,0.6101783,0.6101783,0.3898217
188,1758535097.7003152,no_weapon,0.6097883,0.6097883,0.39021164
189,1758535098.0228107,no_weapon,0.60930485,0.60930485,0.39069512
190,1758535098.3412993,no_weapon,0.6105691,0.6105691,0.38943088
191,1758535098.672129,no_weapon,0.6088114,0.6088114,0.39118862
192,1758535099.0077987,no_weapon,0.6095152,0.6095152,0.39048484
193,1758535099.34647,no_weapon,0.60887516,0.60887516,0.39112484
194,1758535099.6703591,no_weapon,0.60906035,0.60906035,0.39093962
195,1758535100.061918,no_weapon,0.6075401,0.6075401,0.3924599
196,1758535100.4407105,no_weapon,0.6122921,0.6122921,0.3877079
197,1758535100.7525074,no_weapon,0.611446,0.611446,0.38855392
198,1758535101.1420598,no_weapon,0.6107519,0.6107519,0.38924804
199,1758535101.5228407,no_weapon,0.61093885,0.61093885,0.38906115
200,1758535101.8666158,no_weapon,0.6097002,0.6097002,0.39029977
201,1758535102.2359507,no_weapon,0.61049557,0.61049557,0.3895044
202,1758535102.6061544,no_weapon,0.6111028,0.6111028,0.38889715
203,1758535102.9591377,no_weapon,0.6121986,0.6121986,0.3878015
204,1758535103.3448007,no_weapon,0.611783,0.611783,0.38821697
205,1758535103.6786392,no_weapon,0.60998535,0.60998535,0.3900146
206,1758535104.0535736,no_weapon,0.6123583,0.6123583,0.3876417
207,1758535104.421066,no_weapon,0.6111085,0.6111085,0.38889155
208,1758535104.82344,no_weapon,0.61353034,0.61353034,0.38646957
209,1758535105.1718867,no_weapon,0.611482,0.611482,0.388518
210,1758535105.6620882,no_weapon,0.61032295,0.61032295,0.3896771
211,1758535105.9642997,no_weapon,0.6108712,0.6108712,0.38912883
212,1758535106.325983,no_weapon,0.6098728,0.6098728,0.39012718
213,1758535106.7568965,no_weapon,0.6121338,0.6121338,0.38786623
214,1758535107.134537,no_weapon,0.6121984,0.6121984,0.3878016
215,1758535107.5051963,no_weapon,0.6128932,0.6128932,0.38710675
216,1758535107.9038975,no_weapon,0.61036795,0.61036795,0.38963202
217,1758535108.2670429,no_weapon,0.6092185,0.6092185,0.39078158
218,1758535108.5789294,no_weapon,0.6085347,0.6085347,0.39146528
219,1758535108.9739695,no_weapon,0.61122686,0.61122686,0.38877317
220,1758535109.377708,no_weapon,0.61239576,0.61239576,0.3876043
221,1758535109.7464006,no_weapon,0.61204195,0.61204195,0.38795802
222,1758535110.0519872,no_weapon,0.6118888,0.6118888,0.3881111
223,1758535110.4327528,no_weapon,0.6118819,0.6118819,0.3881181
224,1758535110.7879899,no_weapon,0.60738206,0.60738206,0.39261794
225,1758535111.1006684,no_weapon,0.5096999,0.5096999,0.4903001
